
=== 0x1809E99E0 (sub_1809E99E0) ===
  1809e9c38    m_hMyWeapons                               off=48h        back=[] fwd=[48h,48h,18h]
  1809e9cfa    m_hActiveWeapon                            off=60h        back=[9130B52h,60h,60h] fwd=[4,64h,64h,4]
  1809e9d2d    m_hLastWeapon                              off=64h        back=[64h,64h,4,9130B52h] fwd=[4,91DBFE67h,68h,68h]
  1809e9d74    m_iAmmo                                    off=68h        back=[68h,68h,91DBFE67h,4] fwd=[40h,38052CDBh,0C0000080h]
  1809e9eb5    m_hMyWeapons                               off=?          back=[] fwd=[]
  1809e9f7b    m_hActiveWeapon                            off=0C0000080h back=[] fwd=[0C0000080h,0]
  1809ea085    m_hActiveWeapon                            off=?          back=[] fwd=[]
  1809ea136    m_hLastWeapon                              off=?          back=[] fwd=[]
  1809ea193    m_iAmmo                                    off=?          back=[] fwd=[]
  1809ea20a    m_hMyWeapons                               off=?          back=[] fwd=[]
  1809ea253    m_hActiveWeapon                            off=?          back=[] fwd=[]
  1809ea362    m_hActiveWeapon                            off=2          back=[] fwd=[2]
  1809ea377    m_hMyWeapons                               off=2          back=[] fwd=[2,48h]

=== 0x1802E8D10 (sub_1802E8D10) ===
  1802e8ee0    m_iGlowType                                off=30h        back=[30h,30h] fwd=[4]
  1802e9096    m_iGlowTeam                                off=34h        back=[34h,34h] fwd=[4]
  1802e9288    m_nGlowRange                               off=38h        back=[4,38h,38h] fwd=[]
  1802e94d3    m_nGlowRangeMin                            off=3Ch        back=[3Ch,3Ch] fwd=[4]

=== 0x1809D5590 (sub_1809D5590) ===
  1809d58ab    m_hObserverTarget                          off=4Ch        back=[4Ch,4Ch,1,48h] fwd=[485973A6h,0C0000080h]
  1809d5abe    m_hObserverTarget                          off=0C0000080h back=[] fwd=[0C0000080h,0]
  1809d5bb5    m_hObserverTarget                          off=?          back=[] fwd=[]
  1809d5be0    m_hObserverTarget                          off=?          back=[] fwd=[]

=== 0x180402650 (sub_180402650) ===
  18040280c    m_iHealth                                  off=?          back=[] fwd=[]
  180402831    m_flWaterLevel                             off=5          back=[] fwd=[5,3F0h]
  180402853    m_nNextThinkTick                           off=3F0h       back=[5] fwd=[3F0h,100h]
  1804028b7    m_lifeState                                off=4          back=[39h,4,100h,3F0h] fwd=[354h,100h]
  180402911    m_hGroundEntity                            off=100h       back=[0Dh,100h,354h,39h] fwd=[530h,100h]
  180402a66    m_pWeaponServices                          off=11E0h      back=[0Bh] fwd=[11E0h,10h]
  180402bea    m_pItemServices                            off=11E8h      back=[0Bh] fwd=[11E8h,10h]
  180402d76    m_pObserverServices                        off=11F8h      back=[0Bh] fwd=[11F8h,10h]
  180402efa    m_pWaterServices                           off=1200h      back=[0Bh] fwd=[1200h,10h]
  180403086    m_pCameraServices                          off=1218h      back=[0Bh] fwd=[1218h,10h]

=== 0x1808820F0 (sub_1808820F0) ===

===  () ===

=== 0x1807828F0 (sub_1807828F0) ===
  180782ad8    m_iWeaponGameplayAnimState                 off=?          back=[] fwd=[]
  180782c13    m_flWeaponGameplayAnimStateTimestamp       off=?          back=[] fwd=[]
  180782d52    m_flInspectCancelCompleteTime              off=?          back=[] fwd=[]
  180782e92    m_bInspectPending                          off=?          back=[] fwd=[]
  180782fd2    m_bInspectShouldLoop                       off=?          back=[] fwd=[]
  180783112    m_bFireOnEmpty                             off=?          back=[] fwd=[]
  180783242    m_weaponMode                               off=?          back=[] fwd=[]
  180783382    m_fAccuracyPenalty                         off=?          back=[] fwd=[]
  1807834c4    m_iRecoilIndex                             off=?          back=[] fwd=[]
  180783602    m_flRecoilIndex                            off=?          back=[] fwd=[]
  180783742    m_bBurstMode                               off=?          back=[] fwd=[]
  180783882    m_nPostponeFireReadyTicks                  off=?          back=[] fwd=[]
  1807839c2    m_flPostponeFireReadyFrac                  off=?          back=[] fwd=[]
  180783b02    m_bInReload                                off=?          back=[] fwd=[]
